"REF_DATE","GEO","DGUID","Age group","Sex","Satisfaction with life and with selected domains of life","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","25 to 54 years","Males","Standard of living","Number","223","units ","0","v119128470","1.3.2.2","7.5","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Males","Health","Number","223","units ","0","v119128471","1.3.2.3","7.3","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Males","Achievement in life","Number","223","units ","0","v119128472","1.3.2.4","7.1","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Males","Personal relationships","Number","223","units ","0","v119128473","1.3.2.5","7.7","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Males","Personal appearance","Number","223","units ","0","v119128474","1.3.2.6","7.4","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Males","Feelings of safety","Number","223","units ","0","v119128475","1.3.2.7","8.4","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Males","Feeling part of the community","Number","223","units ","0","v119128476","1.3.2.8","7.1","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Males","Free time","Number","223","units ","0","v119128477","1.3.2.9","6.3","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Males","Quality of local environment","Number","223","units ","0","v119128478","1.3.2.10","8.0","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Females","Life as a whole","Number","223","units ","0","v119128479","1.3.3.1","7.8","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Females","Standard of living","Number","223","units ","0","v119128480","1.3.3.2","7.6","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Females","Health","Number","223","units ","0","v119128481","1.3.3.3","7.4","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Females","Achievement in life","Number","223","units ","0","v119128482","1.3.3.4","7.3","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Females","Personal relationships","Number","223","units ","0","v119128483","1.3.3.5","7.9","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Females","Personal appearance","Number","223","units ","0","v119128484","1.3.3.6","7.0","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Females","Feelings of safety","Number","223","units ","0","v119128485","1.3.3.7","8.3","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Females","Feeling part of the community","Number","223","units ","0","v119128486","1.3.3.8","7.3","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Females","Free time","Number","223","units ","0","v119128487","1.3.3.9","6.1","","","","1"
"2016","Canada","2016A000011124","25 to 54 years","Females","Quality of local environment","Number","223","units ","0","v119128488","1.3.3.10","7.9","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Both sexes","Life as a whole","Number","223","units ","0","v119128489","1.4.1.1","7.7","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Both sexes","Standard of living","Number","223","units ","0","v119128490","1.4.1.2","7.6","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Both sexes","Health","Number","223","units ","0","v119128491","1.4.1.3","7.6","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Both sexes","Achievement in life","Number","223","units ","0","v119128492","1.4.1.4","7.3","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Both sexes","Personal relationships","Number","223","units ","0","v119128493","1.4.1.5","7.9","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Both sexes","Personal appearance","Number","223","units ","0","v119128494","1.4.1.6","7.4","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Both sexes","Feelings of safety","Number","223","units ","0","v119128495","1.4.1.7","8.5","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Both sexes","Feeling part of the community","Number","223","units ","0","v119128496","1.4.1.8","7.1","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Both sexes","Free time","Number","223","units ","0","v119128497","1.4.1.9","6.3","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Both sexes","Quality of local environment","Number","223","units ","0","v119128498","1.4.1.10","8.0","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Males","Life as a whole","Number","223","units ","0","v119128499","1.4.2.1","7.7","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Males","Standard of living","Number","223","units ","0","v119128500","1.4.2.2","7.5","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Males","Health","Number","223","units ","0","v119128501","1.4.2.3","7.5","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Males","Achievement in life","Number","223","units ","0","v119128502","1.4.2.4","7.1","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Males","Personal relationships","Number","223","units ","0","v119128503","1.4.2.5","7.7","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Males","Personal appearance","Number","223","units ","0","v119128504","1.4.2.6","7.5","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Males","Feelings of safety","Number","223","units ","0","v119128505","1.4.2.7","8.5","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Males","Feeling part of the community","Number","223","units ","0","v119128506","1.4.2.8","7.0","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Males","Free time","Number","223","units ","0","v119128507","1.4.2.9","6.4","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Males","Quality of local environment","Number","223","units ","0","v119128508","1.4.2.10","8.1","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Females","Life as a whole","Number","223","units ","0","v119128509","1.4.3.1","7.8","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Females","Standard of living","Number","223","units ","0","v119128510","1.4.3.2","7.7","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Females","Health","Number","223","units ","0","v119128511","1.4.3.3","7.7","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Females","Achievement in life","Number","223","units ","0","v119128512","1.4.3.4","7.4","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Females","Personal relationships","Number","223","units ","0","v119128513","1.4.3.5","8.1","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Females","Personal appearance","Number","223","units ","0","v119128514","1.4.3.6","7.3","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Females","Feelings of safety","Number","223","units ","0","v119128515","1.4.3.7","8.4","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Females","Feeling part of the community","Number","223","units ","0","v119128516","1.4.3.8","7.2","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Females","Free time","Number","223","units ","0","v119128517","1.4.3.9","6.2","","","","1"
"2016","Canada","2016A000011124","25 to 34 years","Females","Quality of local environment","Number","223","units ","0","v119128518","1.4.3.10","7.8","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Both sexes","Life as a whole","Number","223","units ","0","v119128519","1.5.1.1","7.8","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Both sexes","Standard of living","Number","223","units ","0","v119128520","1.5.1.2","7.5","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Both sexes","Health","Number","223","units ","0","v119128521","1.5.1.3","7.4","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Both sexes","Achievement in life","Number","223","units ","0","v119128522","1.5.1.4","7.2","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Both sexes","Personal relationships","Number","223","units ","0","v119128523","1.5.1.5","7.8","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Both sexes","Personal appearance","Number","223","units ","0","v119128524","1.5.1.6","7.2","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Both sexes","Feelings of safety","Number","223","units ","0","v119128525","1.5.1.7","8.3","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Both sexes","Feeling part of the community","Number","223","units ","0","v119128526","1.5.1.8","7.2","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Both sexes","Free time","Number","223","units ","0","v119128527","1.5.1.9","6.1","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Both sexes","Quality of local environment","Number","223","units ","0","v119128528","1.5.1.10","8.1","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Males","Life as a whole","Number","223","units ","0","v119128529","1.5.2.1","7.7","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Males","Standard of living","Number","223","units ","0","v119128530","1.5.2.2","7.5","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Males","Health","Number","223","units ","0","v119128531","1.5.2.3","7.4","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Males","Achievement in life","Number","223","units ","0","v119128532","1.5.2.4","7.2","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Males","Personal relationships","Number","223","units ","0","v119128533","1.5.2.5","7.8","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Males","Personal appearance","Number","223","units ","0","v119128534","1.5.2.6","7.4","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Males","Feelings of safety","Number","223","units ","0","v119128535","1.5.2.7","8.4","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Males","Feeling part of the community","Number","223","units ","0","v119128536","1.5.2.8","7.1","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Males","Free time","Number","223","units ","0","v119128537","1.5.2.9","6.2","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Males","Quality of local environment","Number","223","units ","0","v119128538","1.5.2.10","8.1","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Females","Life as a whole","Number","223","units ","0","v119128539","1.5.3.1","7.8","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Females","Standard of living","Number","223","units ","0","v119128540","1.5.3.2","7.5","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Females","Health","Number","223","units ","0","v119128541","1.5.3.3","7.4","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Females","Achievement in life","Number","223","units ","0","v119128542","1.5.3.4","7.3","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Females","Personal relationships","Number","223","units ","0","v119128543","1.5.3.5","7.9","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Females","Personal appearance","Number","223","units ","0","v119128544","1.5.3.6","6.9","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Females","Feelings of safety","Number","223","units ","0","v119128545","1.5.3.7","8.3","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Females","Feeling part of the community","Number","223","units ","0","v119128546","1.5.3.8","7.3","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Females","Free time","Number","223","units ","0","v119128547","1.5.3.9","6.0","","","","1"
"2016","Canada","2016A000011124","35 to 44 years","Females","Quality of local environment","Number","223","units ","0","v119128548","1.5.3.10","8.0","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Both sexes","Life as a whole","Number","223","units ","0","v119128549","1.6.1.1","7.7","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Both sexes","Standard of living","Number","223","units ","0","v119128550","1.6.1.2","7.4","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Both sexes","Health","Number","223","units ","0","v119128551","1.6.1.3","7.1","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Both sexes","Achievement in life","Number","223","units ","0","v119128552","1.6.1.4","7.1","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Both sexes","Personal relationships","Number","223","units ","0","v119128553","1.6.1.5","7.7","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Both sexes","Personal appearance","Number","223","units ","0","v119128554","1.6.1.6","7.1","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Both sexes","Feelings of safety","Number","223","units ","0","v119128555","1.6.1.7","8.3","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Both sexes","Feeling part of the community","Number","223","units ","0","v119128556","1.6.1.8","7.1","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Both sexes","Free time","Number","223","units ","0","v119128557","1.6.1.9","6.2","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Both sexes","Quality of local environment","Number","223","units ","0","v119128558","1.6.1.10","7.9","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Males","Life as a whole","Number","223","units ","0","v119128559","1.6.2.1","7.6","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Males","Standard of living","Number","223","units ","0","v119128560","1.6.2.2","7.3","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Males","Health","Number","223","units ","0","v119128561","1.6.2.3","7.2","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Males","Achievement in life","Number","223","units ","0","v119128562","1.6.2.4","6.9","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Males","Personal relationships","Number","223","units ","0","v119128563","1.6.2.5","7.6","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Males","Personal appearance","Number","223","units ","0","v119128564","1.6.2.6","7.3","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Males","Feelings of safety","Number","223","units ","0","v119128565","1.6.2.7","8.3","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Males","Feeling part of the community","Number","223","units ","0","v119128566","1.6.2.8","7.0","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Males","Free time","Number","223","units ","0","v119128567","1.6.2.9","6.2","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Males","Quality of local environment","Number","223","units ","0","v119128568","1.6.2.10","7.9","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Females","Life as a whole","Number","223","units ","0","v119128569","1.6.3.1","7.8","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Females","Standard of living","Number","223","units ","0","v119128570","1.6.3.2","7.6","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Females","Health","Number","223","units ","0","v119128571","1.6.3.3","7.1","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Females","Achievement in life","Number","223","units ","0","v119128572","1.6.3.4","7.2","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Females","Personal relationships","Number","223","units ","0","v119128573","1.6.3.5","7.7","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Females","Personal appearance","Number","223","units ","0","v119128574","1.6.3.6","6.9","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Females","Feelings of safety","Number","223","units ","0","v119128575","1.6.3.7","8.2","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Females","Feeling part of the community","Number","223","units ","0","v119128576","1.6.3.8","7.3","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Females","Free time","Number","223","units ","0","v119128577","1.6.3.9","6.3","","","","1"
"2016","Canada","2016A000011124","45 to 54 years","Females","Quality of local environment","Number","223","units ","0","v119128578","1.6.3.10","7.9","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Both sexes","Life as a whole","Number","223","units ","0","v119128579","1.7.1.1","7.9","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Both sexes","Standard of living","Number","223","units ","0","v119128580","1.7.1.2","7.7","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Both sexes","Health","Number","223","units ","0","v119128581","1.7.1.3","7.2","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Both sexes","Achievement in life","Number","223","units ","0","v119128582","1.7.1.4","7.5","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Both sexes","Personal relationships","Number","223","units ","0","v119128583","1.7.1.5","8.0","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Both sexes","Personal appearance","Number","223","units ","0","v119128584","1.7.1.6","7.2","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Both sexes","Feelings of safety","Number","223","units ","0","v119128585","1.7.1.7","8.3","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Both sexes","Feeling part of the community","Number","223","units ","0","v119128586","1.7.1.8","7.4","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Both sexes","Free time","Number","223","units ","0","v119128587","1.7.1.9","7.0","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Both sexes","Quality of local environment","Number","223","units ","0","v119128588","1.7.1.10","8.1","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Males","Life as a whole","Number","223","units ","0","v119128589","1.7.2.1","7.9","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Males","Standard of living","Number","223","units ","0","v119128590","1.7.2.2","7.7","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Males","Health","Number","223","units ","0","v119128591","1.7.2.3","7.2","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Males","Achievement in life","Number","223","units ","0","v119128592","1.7.2.4","7.5","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Males","Personal relationships","Number","223","units ","0","v119128593","1.7.2.5","8.0","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Males","Personal appearance","Number","223","units ","0","v119128594","1.7.2.6","7.5","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Males","Feelings of safety","Number","223","units ","0","v119128595","1.7.2.7","8.4","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Males","Feeling part of the community","Number","223","units ","0","v119128596","1.7.2.8","7.4","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Males","Free time","Number","223","units ","0","v119128597","1.7.2.9","7.0","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Males","Quality of local environment","Number","223","units ","0","v119128598","1.7.2.10","8.1","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Females","Life as a whole","Number","223","units ","0","v119128599","1.7.3.1","7.8","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Females","Standard of living","Number","223","units ","0","v119128600","1.7.3.2","7.7","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Females","Health","Number","223","units ","0","v119128601","1.7.3.3","7.2","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Females","Achievement in life","Number","223","units ","0","v119128602","1.7.3.4","7.5","","","","1"
"2016","Canada","2016A000011124","55 to 64 years","Females","Personal relationships","Number","223","units ","0","v119128603","1.7.3.5","7.9","","","","1"
