REF_DATE,GEO,Age group,Sex,UOM_ID,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Current smoker, daily or occasional","Fruit and vegetable consumption, 5 times or more per day","Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
2015/2016,"Kingston, Ontario","Total, 12 years and over",Both sexes,223,25260.4,24560.0,1600.0,15340.0,23740.0,79740.0,11320.4,55860.0,22700.0,57339.6,50880.0,3260.0,63840.2
2015/2016,"Kingston, Ontario","Total, 12 years and over",Both sexes,239,32.56666666666666,31.46666666666667,34.46666666666666,17.466666666666665,29.166666666666668,92.26666666666667,13.133333333333335,62.29999999999999,26.166666666666668,65.66666666666667,62.833333333333336,57.76666666666667,73.86666666666666
2015/2016,"Kitchener-Cambridge-Waterloo, Ontario","Total, 12 years and over",Both sexes,223,63800.0,78260.0,3100.0,49000.0,82500.2,233020.0,33420.4,167040.0,57420.0,179360.0,139740.0,10080.0,172540.0
2015/2016,"Kitchener-Cambridge-Waterloo, Ontario","Total, 12 years and over",Both sexes,239,28.5,35.199999999999996,18.133333333333336,18.8,33.46666666666666,91.93333333333332,12.9,63.29999999999999,22.0,69.69999999999999,58.06666666666666,59.56666666666666,69.0
2015/2016,"Large urban population centres, Alberta","Total, 12 years and over",Both sexes,223,268279.6,418180.2,19060.0,200199.8,356060.0,1135120.0,106760.0,839840.2,271040.0,904460.2,674120.0,46020.0,824060.0
2015/2016,"Large urban population centres, Alberta","Total, 12 years and over",Both sexes,239,24.400000000000002,38.0,25.53333333333333,15.966666666666667,30.3,93.13333333333333,8.533333333333333,67.0,21.733333333333334,73.8,58.800000000000004,61.1,68.06666666666666
2015/2016,"Large urban population centres, Alberta","Total, 12 years and over",Females,223,124939.8,163940.0,7600.0,83939.8,220400.0,568460.0,72440.0,417280.2,141660.0,439280.0,315860.0,22600.2,417280.0
2015/2016,"Large urban population centres, Alberta","Total, 12 years and over",Females,239,23.133333333333336,30.53333333333333,20.033333333333335,13.4,37.43333333333333,92.93333333333332,11.5,66.39999999999999,22.666666666666668,71.46666666666667,54.866666666666674,62.73333333333333,68.53333333333333
2015/2016,"Large urban population centres, Alberta","Total, 12 years and over",Males,223,144399.8,254600.2,11460.0,116220.0,135900.0,567280.0,34340.0,422760.2,129060.0,466120.2,359260.0,23380.0,406560.0
2015/2016,"Large urban population centres, Alberta","Total, 12 years and over",Males,239,25.666666666666668,45.1,32.06666666666666,18.566666666666666,23.166666666666668,93.23333333333333,5.533333333333334,67.56666666666666,20.766666666666666,76.06666666666666,62.70000000000001,59.43333333333334,67.5
2015/2016,"Large urban population centres, British Columbia","Total, 12 years and over",Both sexes,223,244739.6,479560.0,18720.0,204539.8,435100.0,1391160.0,146620.2,933039.8,309059.8,1040379.8,936580.2,58920.2,1044900.2
2015/2016,"Large urban population centres, British Columbia","Total, 12 years and over",Both sexes,239,18.033333333333335,35.4,23.033333333333335,13.233333333333334,30.0,92.36666666666667,9.466666666666667,59.800000000000004,19.833333333333332,68.83333333333333,65.7,66.53333333333335,70.16666666666667
2015/2016,"Large urban population centres, British Columbia","Total, 12 years and over",Females,223,110639.6,193279.8,5139.8,79859.8,267060.0,713520.0,96300.2,470380.0,166699.8,518279.8,457060.2,26480.0,545040.2
2015/2016,"Large urban population centres, British Columbia","Total, 12 years and over",Females,239,16.366666666666667,28.433333333333334,13.4,10.1,35.93333333333333,92.36666666666667,12.166666666666666,59.36666666666667,21.166666666666668,66.7,63.0,59.23333333333333,71.16666666666667
2015/2016,"Large urban population centres, British Columbia","Total, 12 years and over",Males,223,134559.6,286100.0,13760.0,124939.8,168580.0,676820.0,50560.0,461940.0,142200.0,521779.8,478640.2,32340.2,500020.0
2015/2016,"Large urban population centres, British Columbia","Total, 12 years and over",Males,239,19.733333333333334,42.43333333333333,32.766666666666666,16.53333333333333,23.833333333333332,92.3,6.666666666666667,60.26666666666666,18.533333333333335,71.03333333333333,68.5,73.66666666666667,69.06666666666668
2015/2016,"Large urban population centres, Manitoba","Total, 12 years and over",Both sexes,223,85159.8,109540.0,7140.0,74260.2,93459.8,336420.0,34080.0,229500.0,79100.0,254139.8,188219.8,14280.0,247520.0
2015/2016,"Large urban population centres, Manitoba","Total, 12 years and over",Both sexes,239,26.3,34.03333333333333,29.46666666666667,19.866666666666664,26.766666666666666,91.46666666666665,9.133333333333333,60.5,21.066666666666666,68.83333333333333,54.699999999999996,58.73333333333333,67.73333333333333
2015/2016,"Large urban population centres, Manitoba","Total, 12 years and over",Females,223,40320.0,41899.8,3040.0,33180.0,61180.0,169220.0,22720.0,118360.0,42780.0,124240.0,90160.0,6380.0,124600.0
2015/2016,"Large urban population centres, Manitoba","Total, 12 years and over",Females,239,25.53333333333333,26.799999999999997,28.3,17.266666666666666,34.199999999999996,90.3,11.933333333333332,61.166666666666664,22.333333333333332,65.76666666666667,50.96666666666666,56.633333333333326,66.83333333333334
2015/2016,"Large urban population centres, Manitoba","Total, 12 years and over",Males,223,44659.8,67720.0,4000.0,41440.0,32559.8,167140.0,11400.0,111420.0,36220.0,129860.0,98280.0,7900.0,122920.0
2015/2016,"Large urban population centres, Manitoba","Total, 12 years and over",Males,239,27.099999999999998,41.03333333333333,31.366666666666664,22.666666666666668,19.1,92.53333333333335,6.366666666666667,59.833333333333336,19.833333333333332,72.0,58.666666666666664,60.199999999999996,68.60000000000001
2015/2016,"Large urban population centres, Nova Scotia","Total, 12 years and over",Both sexes,223,44559.8,51520.0,3480.2,30160.0,40659.8,150840.0,18840.2,106780.2,32240.0,112520.0,95940.4,6320.2,117260.0
2015/2016,"Large urban population centres, Nova Scotia","Total, 12 years and over",Both sexes,239,29.766666666666666,34.43333333333333,39.733333333333334,18.2,24.933333333333334,91.83333333333333,11.466666666666669,64.13333333333334,19.3,68.43333333333334,61.53333333333334,70.66666666666666,72.06666666666666
2015/2016,"Large urban population centres, Nova Scotia","Total, 12 years and over",Females,223,19219.8,24880.0,2140.2,12160.0,26419.8,74880.0,12200.2,54740.2,17460.0,55420.0,45280.0,3340.2,59960.0
2015/2016,"Large urban population centres, Nova Scotia","Total, 12 years and over",Females,239,26.26666666666667,34.166666666666664,50.300000000000004,14.9,32.4,91.3,14.9,65.89999999999999,20.96666666666667,67.06666666666666,58.133333333333326,72.10000000000001,73.46666666666665
2015/2016,"Large urban population centres, Nova Scotia","Total, 12 years and over",Males,223,25360.0,26699.8,1340.0,18060.0,14339.8,75300.0,6780.0,52140.0,14840.0,57200.0,50800.0,2980.0,57160.0
2015/2016,"Large urban population centres, Nova Scotia","Total, 12 years and over",Males,239,33.166666666666664,34.833333333333336,30.3,21.733333333333334,17.633333333333333,92.03333333333335,8.333333333333334,62.300000000000004,17.866666666666667,69.66666666666667,64.73333333333333,67.23333333333333,70.43333333333334
2015/2016,"Large urban population centres, Ontario","Total, 12 years and over",Both sexes,223,997699.6,1468899.8,66500.0,764139.6,1291739.8,4388920.0,413920.0,3047880.0,1109760.2,3413400.0,2597000.0,193060.0,3290080.2
2015/2016,"Large urban population centres, Ontario","Total, 12 years and over",Both sexes,239,23.566666666666666,34.699999999999996,23.099999999999998,15.433333333333332,27.933333333333337,92.56666666666666,8.333333333333334,61.4,22.46666666666667,71.43333333333332,57.6,58.26666666666667,69.7
2015/2016,"Large urban population centres, Ontario","Total, 12 years and over",Females,223,473899.6,638440.0,29900.0,311299.6,797719.8,2273100.0,256400.0,1539900.0,620160.0,1715340.0,1277140.0,73979.8,1731180.2
2015/2016,"Large urban population centres, Ontario","Total, 12 years and over",Females,239,22.066666666666666,29.833333333333332,21.099999999999998,12.199999999999998,33.2,92.86666666666667,10.0,60.20000000000001,24.333333333333332,69.36666666666667,54.699999999999996,47.133333333333326,71.0
2015/2016,"Large urban population centres, Ontario","Total, 12 years and over",Males,223,525239.6,829000.0,36759.8,454460.0,492899.8,2115660.0,157940.0,1507860.0,489580.0,1697780.0,1317580.0,118420.0,1558920.0
2015/2016,"Large urban population centres, Ontario","Total, 12 years and over",Males,239,25.133333333333336,39.699999999999996,25.233333333333334,18.933333333333334,22.23333333333333,92.16666666666667,6.6000000000000005,62.666666666666664,20.533333333333335,73.63333333333333,60.699999999999996,68.13333333333334,68.23333333333333
2015/2016,"Large urban population centres, Quebec","Total, 12 years and over",Both sexes,223,530199.6,842000.0,34520.0,464600.0,977980.2,2424780.2,142319.8,1691920.2,640920.2,1930860.2,1388140.2,80239.8,1460639.6
2015/2016,"Large urban population centres, Quebec","Total, 12 years and over",Both sexes,239,22.566666666666666,35.6,24.53333333333333,17.5,38.43333333333333,93.5,5.366666666666667,63.9,24.233333333333334,74.23333333333333,56.56666666666667,55.23333333333333,56.96666666666666
2015/2016,"Large urban population centres, Quebec","Total, 12 years and over",Females,223,245119.6,361820.0,15120.0,205420.0,600540.2,1230660.0,92959.8,826680.0,346540.2,946380.2,670560.2,33580.0,744379.8
2015/2016,"Large urban population centres, Quebec","Total, 12 years and over",Females,239,20.866666666666667,30.7,22.833333333333332,15.233333333333334,46.333333333333336,93.36666666666667,6.933333333333334,61.4,25.8,71.66666666666667,53.699999999999996,48.0,57.4
2015/2016,"Large urban population centres, Quebec","Total, 12 years and over",Males,223,285659.8,479120.0,19380.0,259600.0,377640.2,1196000.0,48859.8,864680.2,294080.2,984200.2,717039.8,46860.0,715579.6
2015/2016,"Large urban population centres, Quebec","Total, 12 years and over",Males,239,24.3,40.5,26.366666666666664,19.866666666666667,30.233333333333334,93.56666666666666,3.766666666666667,66.43333333333334,22.7,76.9,59.5,61.800000000000004,56.5
2015/2016,"Large urban population centres, Saskatchewan","Total, 12 years and over",Both sexes,223,50039.8,84560.2,3600.0,44760.0,62340.0,213840.0,18160.0,145780.0,42119.8,162600.0,119540.0,7520.0,156979.8
2015/2016,"Large urban population centres, Saskatchewan","Total, 12 years and over",Both sexes,239,24.266666666666666,41.73333333333334,28.266666666666666,19.7,28.766666666666666,93.43333333333332,7.733333333333333,62.6,18.366666666666664,71.06666666666666,56.46666666666667,55.5,69.03333333333332
2015/2016,"Large urban population centres, Saskatchewan","Total, 12 years and over",Males,223,29179.8,52900.2,2520.0,26440.0,23460.0,110200.0,8660.0,76100.0,17999.8,87760.0,70160.0,4160.0,78860.0
2015/2016,"Large urban population centres, Saskatchewan","Total, 12 years and over",Males,239,26.733333333333334,48.666666666666664,40.0,23.266666666666666,21.599999999999998,94.5,7.5,64.03333333333333,15.6,75.46666666666665,65.2,63.20000000000001,68.60000000000001
2015/2016,"Large urban population, Newfoundland and Labrador","Total, 12 years and over",Both sexes,223,28980.0,27980.0,1200.0,15179.8,25900.2,85740.0,11840.2,64600.4,14839.8,69560.0,51820.2,2900.0,67240.0
2015/2016,"Large urban population, Newfoundland and Labrador","Total, 12 years and over",Both sexes,239,33.6,32.63333333333333,27.53333333333333,16.133333333333336,28.233333333333334,92.36666666666666,12.633333333333335,67.16666666666667,15.766666666666666,75.13333333333333,58.03333333333333,69.8,72.53333333333335
2015/2016,"London, Ontario","Total, 12 years and over",Both sexes,223,55760.0,73140.0,3420.0,45960.0,74940.0,237220.0,28120.2,157400.0,56500.0,176180.0,140900.0,10480.0,179340.0
2015/2016,"London, Ontario","Total, 12 years and over",Both sexes,239,25.766666666666666,33.86666666666667,24.566666666666666,17.433333333333334,30.266666666666666,93.09999999999998,10.699999999999998,59.13333333333333,21.400000000000002,68.63333333333334,57.76666666666667,63.833333333333336,70.73333333333333
2015/2016,"London, Ontario","Total, 12 years and over",Males,223,30480.0,40720.0,2600.0,26240.0,29680.0,114540.0,10960.0,78940.0,27740.0,90160.0,73180.0,5740.0,87020.0
2015/2016,"London, Ontario","Total, 12 years and over",Males,239,29.633333333333336,39.800000000000004,30.366666666666664,20.5,24.766666666666666,92.06666666666666,8.766666666666667,60.79999999999999,21.8,72.1,61.666666666666664,64.06666666666666,70.9
2015/2016,Manitoba,"Total, 12 years and over",Both sexes,223,200425.25,224950.0,15250.0,143975.0,195149.75,692350.0,65625.0,467200.0,155075.0,524624.75,376549.75,33075.0,527225.25
2015/2016,Manitoba,"Total, 12 years and over",Both sexes,239,30.333333333333332,34.3,28.0,18.8,27.333333333333332,92.23333333333333,8.5,60.26666666666667,20.133333333333336,69.5,53.96666666666667,60.03333333333334,70.66666666666667
2015/2016,Manitoba,"Total, 12 years and over",Females,223,91075.25,91000.0,5775.0,65175.0,126999.75,349625.0,41900.0,242375.0,82650.0,259150.0,176499.75,14800.0,265925.0
2015/2016,Manitoba,"Total, 12 years and over",Females,239,28.3,28.433333333333334,24.666666666666668,16.666666666666668,34.76666666666667,91.86666666666667,10.766666666666666,61.86666666666667,21.26666666666667,67.5,49.63333333333333,56.73333333333333,70.23333333333333
2015/2016,Manitoba,"Total, 12 years and over",Males,223,109000.25,133900.0,9275.0,79250.0,68099.75,342600.0,23525.0,224874.75,72175.0,265400.0,199824.75,18325.0,261400.25
2015/2016,Manitoba,"Total, 12 years and over",Males,239,32.333333333333336,39.86666666666667,31.2,21.0,19.533333333333335,92.5,6.3,58.6,19.066666666666666,71.56666666666666,58.46666666666666,62.86666666666667,71.06666666666666
2015/2016,"Medium population centres, Alberta","Total, 12 years and over",Both sexes,223,68040.4,73840.0,4560.0,48560.0,59739.8,212500.0,20060.0,148740.0,52740.0,166380.0,128600.0,7219.8,157760.0
2015/2016,"Medium population centres, Alberta","Total, 12 years and over",Both sexes,239,33.233333333333334,36.13333333333333,33.96666666666667,20.633333333333333,27.766666666666666,93.0,8.666666666666666,63.666666666666664,22.8,72.46666666666667,60.86666666666667,49.333333333333336,69.96666666666665
2015/2016,"Medium population centres, Alberta","Total, 12 years and over",Females,223,27920.2,29560.0,2280.0,19660.0,34459.8,99680.0,11300.0,68880.0,25860.0,76860.0,55980.0,3419.8,77980.0
2015/2016,"Medium population centres, Alberta","Total, 12 years and over",Females,239,30.03333333333333,32.233333333333334,31.23333333333333,17.9,33.36666666666667,91.93333333333332,10.333333333333334,62.36666666666667,23.8,70.93333333333334,57.166666666666664,40.833333333333336,72.43333333333334
2015/2016,"Medium population centres, Alberta","Total, 12 years and over",Males,223,40600.4,44720.0,2320.0,28920.0,25540.0,113560.0,8780.0,80240.0,27000.0,89460.0,72760.0,3880.0,79900.0
2015/2016,"Medium population centres, Alberta","Total, 12 years and over",Males,239,36.0,39.46666666666667,38.46666666666667,23.2,22.73333333333333,93.8,7.266666666666667,64.76666666666667,22.0,73.69999999999999,63.96666666666666,60.699999999999996,67.63333333333333
2015/2016,"Medium population centres, British Columbia","Total, 12 years and over",Both sexes,223,64180.2,83380.0,4960.0,41240.0,72280.0,233939.8,33320.4,154479.8,55040.0,173819.8,148660.0,12160.0,186140.2
2015/2016,"Medium population centres, British Columbia","Total, 12 years and over",Both sexes,239,27.766666666666666,35.93333333333333,32.5,15.199999999999998,29.633333333333336,90.56666666666666,12.266666666666666,57.1,20.23333333333333,66.96666666666667,61.199999999999996,67.16666666666667,72.73333333333333
2015/2016,"Medium population centres, British Columbia","Total, 12 years and over",Females,223,30240.2,35460.0,1920.0,18120.0,47000.0,122600.0,20780.2,75419.8,28840.0,88920.0,69859.8,3900.0,99320.2
2015/2016,"Medium population centres, British Columbia","Total, 12 years and over",Females,239,25.766666666666666,30.333333333333332,27.266666666666666,13.200000000000001,36.96666666666666,91.69999999999999,15.133333333333335,54.93333333333334,20.833333333333332,66.2,55.29999999999999,59.5,75.03333333333333
2015/2016,"Medium population centres, British Columbia","Total, 12 years and over",Males,223,34300.2,47700.0,3080.0,23120.0,25520.0,110899.8,12620.2,79340.0,26240.0,84979.8,79440.2,8240.0,87140.0
2015/2016,"Medium population centres, British Columbia","Total, 12 years and over",Males,239,29.933333333333337,41.833333333333336,38.06666666666667,17.433333333333334,21.8,89.2,9.466666666666667,59.366666666666674,19.733333333333334,67.8,67.53333333333335,70.46666666666665,70.23333333333333
2015/2016,"Medium population centres, New Brunswick","Total, 12 years and over",Both sexes,223,22940.2,22720.0,1940.2,14800.0,20340.0,71340.0,8560.0,47340.0,15000.0,53640.0,40080.0,2460.0,53220.0
